source_version,original_id,original_title,original_priority,original_acceptance,source_path,source_line,decision,polka_requirements,stages,delivery_tasks,decision_note
v2.0,PR-AGENT-003,CLI checkout,not specified in row,Coding-agent получает deterministic working directory,docs/prd/v2_0.md,1092,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v2.0,PR-AGENT-004,One Tool Service,not specified in row,Embedded/MCP/CLI проходят одинаковые validation/permissions,docs/prd/v2_0.md,1093,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v2.0,PR-AGENT-005,Versioned skills,not specified in row,Run фиксирует exact skill packages,docs/prd/v2_0.md,1094,preserved,F13;F15,M3;M4,P13;P15,Точная версия skill package записана в run и proposal.
v2.0,PR-AGENT-006,Bounded run,not specified in row,Max duration/iterations/tool calls/cost enforced server-side,docs/prd/v2_0.md,1095,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v2.0,PR-AGENT-007,No publish tool,not specified in row,Попытка agent publish возвращает authorization denial,docs/prd/v2_0.md,1096,preserved,F14,M3;M4,P14,Agent publish отклоняется сервером; user click не передаёт agent publisher scope.
v2.0,PR-AGENT-008,Needs-input state,not specified in row,Агент задаёт structured questions вместо выдумывания данных,docs/prd/v2_0.md,1097,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v2.0,PR-AGENT-009,Run observability,not specified in row,"Пользователь видит stages, sources, operations, outputs и cancel",docs/prd/v2_0.md,1098,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v2.0,PR-AGENT-010,Provider independence,not specified in row,Skill and DeckDocument не содержат provider-specific types,docs/prd/v2_0.md,1099,preserved,F13;F20,M3,P13;P20,"Один application contract, scoped actor и наблюдаемый run; подключение принимается реально."
v2.0,PR-REVIEW-001,Proposal from base revision,not specified in row,Main не меняется до accept,docs/prd/v2_0.md,1105,preserved,F14,M3,P14,"Base/current/candidate, человеческая приёмка и явный конфликт сохраняются."
v2.0,PR-REVIEW-002,Semantic diff,not specified in row,Text/data/source/recipe/asset changes понятны без JSON diff,docs/prd/v2_0.md,1106,preserved,F14,M3,P14,"Base/current/candidate, человеческая приёмка и явный конфликт сохраняются."
v2.0,PR-REVIEW-003,Visual diff,not specified in row,Для изменённых slides доступны before/after thumbnails,docs/prd/v2_0.md,1107,preserved,F14,M3,P14,"Base/current/candidate, человеческая приёмка и явный конфликт сохраняются."
v2.0,PR-REVIEW-004,Partial accept,not specified in row,Можно применить независимый change group; dependencies проверяются,docs/prd/v2_0.md,1108,deferred,F14,M5,P14,"Сначала accept целого candidate; частичная приёмка лишь независимых проверяемых групп, не произвольных DOM diff."
v2.0,PR-REVIEW-005,Rebase/conflict,not specified in row,Human change не перетирается; конфликт показывается,docs/prd/v2_0.md,1109,preserved,F14,M3,P14,"Base/current/candidate, человеческая приёмка и явный конфликт сохраняются."
v2.0,PR-REVIEW-006,Comments to agent,not specified in row,Unresolved comments можно передать в AgentRun,docs/prd/v2_0.md,1110,preserved,F14,M3,P14,"Base/current/candidate, человеческая приёмка и явный конфликт сохраняются."
v2.0,PR-REVIEW-007,Comment anchoring,not specified in row,Anchor переживает layout change через stable block ID,docs/prd/v2_0.md,1111,adapted,F14,M3,P14,"Anchor = revision/route/semantic ID или fallback region; потерянный anchor помечается, обещания выжить после любого JS rewrite нет."
v2.0,PR-REVIEW-008,Review status,not specified in row,Requested/changes-requested/approved относится к revision,docs/prd/v2_0.md,1112,preserved,F03;F14,M4,P03;P14,Required approvals относятся к exact revision и разделяют author/reviewer/publisher по политике.
v2.0,PR-REVIEW-009,Separation of duties,not specified in row,Agent и author не могут закрыть required publisher approval,docs/prd/v2_0.md,1113,preserved,F03;F14,M4,P03;P14,Required approvals относятся к exact revision и разделяют author/reviewer/publisher по политике.
v2.0,PR-EDIT-001,Inline text/list/metric,not specified in row,Edit сохраняет structured AST и rerenders slide,docs/prd/v2_0.md,1119,adapted,F09,M2,P09,Прямая правка поддержанного HTML/recipe source; не обещание универсального DOM/canvas editor.
v2.0,PR-EDIT-002,Compatible recipe switch,not specified in row,"UI показывает только recipes, принимающие текущие blocks",docs/prd/v2_0.md,1120,adapted,F09,M2,P09,Прямая правка поддержанного HTML/recipe source; не обещание универсального DOM/canvas editor.
v2.0,PR-EDIT-003,Reorder,not specified in row,Slide/block order changes atomically,docs/prd/v2_0.md,1121,adapted,F09,M2,P09,Прямая правка поддержанного HTML/recipe source; не обещание универсального DOM/canvas editor.
v2.0,PR-EDIT-004,Asset replace/crop,not specified in row,Preview/PDF crop identical,docs/prd/v2_0.md,1122,adapted,F09;F24,M2;M5,P09;P24,Asset replace/crop в поддержанном компоненте; совпадение PDF проверяется при отдельном выпуске экспортера.
v2.0,PR-EDIT-005,Source/data binding,not specified in row,"Inspector показывает date, provenance, freshness",docs/prd/v2_0.md,1123,adapted,F09;F16,M2;M4,P09;P16,Рецепт раскрывает типизированные данные/источник и допустимые настройки графика; чужой JS не притворяется этим редактором.
v2.0,PR-EDIT-006,Chart type switch,not specified in row,Запрещённые mappings недоступны,docs/prd/v2_0.md,1124,adapted,F09;F16,M2;M4,P09;P16,Рецепт раскрывает типизированные данные/источник и допустимые настройки графика; чужой JS не притворяется этим редактором.
v2.0,PR-EDIT-007,Notes,not specified in row,"Notes доступны reviewer, не попадают в PDF по умолчанию",docs/prd/v2_0.md,1125,adapted,F09;F14,M3,P09;P14,Private notes/context хранятся отдельно от reader bundle и не попадают в share/export по умолчанию.
v2.0,PR-EDIT-008,No arbitrary geometry,not specified in row,Authoring command schema не содержит x/y,docs/prd/v2_0.md,1126,retired,F08;F09,M2,P08;P09,Глобальный запрет произвольной геометрии снят: HTML/CSS поддерживается в своём профиле; managed recipe может иметь свои ограничения.
v2.0,PR-TPL-001,Versioned package,not specified in row,Deck pins immutable template version,docs/prd/v2_0.md,1132,adapted,F15,M2;M4,P15,Доверенный curated recipe сначала; корпоративные releases и certification в M4.
v2.0,PR-TPL-002,Tokens/components/recipes,not specified in row,Runtime не исполняет tenant code,docs/prd/v2_0.md,1133,adapted,F08;F15,M2;M4,P08;P15,Template name не делает код доверенным; trusted registry отдельно от networkless arbitrary HTML runtime. Полный запрет tenant code снят.
v2.0,PR-TPL-003,Agent guide,not specified in row,`get_template_contract` объясняет use/anti-patterns/examples,docs/prd/v2_0.md,1134,adapted,F15,M2;M4,P15,Доверенный curated recipe сначала; корпоративные releases и certification в M4.
v2.0,PR-TPL-004,Image style profile,not specified in row,Generation request получает locked brand style constraints,docs/prd/v2_0.md,1135,preserved,F15;F16,M3;M4,P15;P16,Разрешённый image adapter получает pinned image-style profile и policy.
v2.0,PR-TPL-005,Fixtures,not specified in row,Candidate не сертифицируется при blocking fixture failure,docs/prd/v2_0.md,1136,preserved,F15,M4,P15,"Fixture failures блокируют certification; роль Brand — человек, не агент."
v2.0,PR-TPL-006,Certification,not specified in row,Только Brand role переводит candidate в certified,docs/prd/v2_0.md,1137,preserved,F15,M4,P15,"Fixture failures блокируют certification; роль Brand — человек, не агент."
v2.0,PR-TPL-007,Template switch,not specified in row,Migration report показывает incompatible blocks,docs/prd/v2_0.md,1138,adapted,F09;F15,M2;M4,P09;P15,"Compatible recipe edit в M2; brand migration с отчётом M4, без обещания конвертировать любой HTML."
v2.0,PR-TPL-008,Assisted onboarding,not specified in row,Extractor + agent создают candidate package из references,docs/prd/v2_0.md,1139,deferred,F15;F16,M5,P15;P16,Автоматизация извлечения брендбука после ручного versioned package и accepted fixtures.
v2.0,PR-RENDER-001,Authoritative render,not specified in row,Slide images и PDF используют тот же RenderPlan,docs/prd/v2_0.md,1145,adapted,F08;F24,M2;M5,P08;P24,Канонический файл/HTML revision и profile manifest; автоматическое тождество интерактивного HTML и PDF не обещается.
v2.0,PR-RENDER-002,Real font measurement,not specified in row,Overflow определяется с approved font binaries,docs/prd/v2_0.md,1146,adapted,F08;F15;F18,M2;M4,P08;P15;P18,"Фиксируем профиль, зависимости и наблюдаемый результат HTML; не общий slide RenderPlan."
v2.0,PR-RENDER-003,Deterministic hard lint,not specified in row,Same inputs → same blocking issues,docs/prd/v2_0.md,1147,adapted,F08;F15;F18,M2;M4,P08;P15;P18,"Фиксируем профиль, зависимости и наблюдаемый результат HTML; не общий slide RenderPlan."
v2.0,PR-RENDER-004,Repair loop,not specified in row,"Agent использует documented fallback, не arbitrary coordinates",docs/prd/v2_0.md,1148,adapted,F13;F18,M3,P13;P18,"Bounded agent critique по релевантным страницам/состояниям; все обязательные состояния corpus проверяются, произвольные JS состояния не исчерпываются снимком."
v2.0,PR-RENDER-005,Full final vision pass,not specified in row,Перед handoff проверены все slide images,docs/prd/v2_0.md,1149,adapted,F13;F18,M3,P13;P18,"Bounded agent critique по релевантным страницам/состояниям; все обязательные состояния corpus проверяются, произвольные JS состояния не исчерпываются снимком."
v2.0,PR-RENDER-006,Bounded vision iterations,not specified in row,Policy limit не допускает бесконечный loop,docs/prd/v2_0.md,1150,adapted,F13;F18,M3,P13;P18,"Bounded agent critique по релевантным страницам/состояниям; все обязательные состояния corpus проверяются, произвольные JS состояния не исчерпываются снимком."
v2.0,PR-RENDER-007,Slide images API,not specified in row,`render` возвращает references на page images + issues,docs/prd/v2_0.md,1151,adapted,F08;F15;F18,M2;M4,P08;P15;P18,"Фиксируем профиль, зависимости и наблюдаемый результат HTML; не общий slide RenderPlan."
v2.0,PR-RENDER-008,Visual fingerprint,not specified in row,Release manifest фиксирует per-page perceptual/geometry fingerprint,docs/prd/v2_0.md,1152,adapted,F08;F15;F18,M2;M4,P08;P15;P18,"Фиксируем профиль, зависимости и наблюдаемый результат HTML; не общий slide RenderPlan."
v2.0,PR-VIS-001,Brand assets first,not specified in row,Skill ищет approved library до external generation,docs/prd/v2_0.md,1158,preserved,F16,M3;M4,P16,"Визуальная задача, разрешённый источник, качество и immutable asset; никаких скрытых внешних вызовов."
v2.0,PR-VIS-002,Native structural visuals,not specified in row,Steps/flow/comparison не rasterize без причины,docs/prd/v2_0.md,1159,adapted,F08;F15;F16,M2;M3,P08;P15;P16,"Purpose и style guide сохраняются; структурные визуалы доступны как HTML/SVG/components, не только DeckDoc blocks."
v2.0,PR-VIS-003,VisualIntent,not specified in row,Для visual block хранится purpose/type/style constraints,docs/prd/v2_0.md,1160,adapted,F08;F15;F16,M2;M3,P08;P15;P16,"Purpose и style guide сохраняются; структурные визуалы доступны как HTML/SVG/components, не только DeckDoc blocks."
v2.0,PR-VIS-004,Generation broker,not specified in row,Provider credential недоступен agent/client,docs/prd/v2_0.md,1161,preserved,F10;F16,M3;M4,P10;P16,Policy/egress/credential boundary до обращения к image provider; не обещание автоматического распознавания всех секретов.
v2.0,PR-VIS-005,Candidates,not specified in row,Генерация создаёт 2–3 immutable candidates,docs/prd/v2_0.md,1162,adapted,F16,M3,P16,Candidate count определяется бюджетом и адаптером; все выбранные результаты immutable.
v2.0,PR-VIS-006,Provenance,not specified in row,Provider/model/request/inputs/policy/actor/run recorded,docs/prd/v2_0.md,1163,preserved,F16,M3;M4,P16,"Визуальная задача, разрешённый источник, качество и immutable asset; никаких скрытых внешних вызовов."
v2.0,PR-VIS-007,DLP and classification,not specified in row,Confidential content не уходит запрещённому provider,docs/prd/v2_0.md,1164,preserved,F10;F16,M3;M4,P10;P16,Policy/egress/credential boundary до обращения к image provider; не обещание автоматического распознавания всех секретов.
v2.0,PR-VIS-008,License state,not specified in row,Unknown/restricted asset может блокировать external release,docs/prd/v2_0.md,1165,preserved,F16,M3;M4,P16,"Визуальная задача, разрешённый источник, качество и immutable asset; никаких скрытых внешних вызовов."
v2.0,PR-VIS-009,Image quality lint,not specified in row,"Resolution, aspect, artifacts, text/logo/face policy проверяются",docs/prd/v2_0.md,1166,preserved,F16,M3;M4,P16,"Визуальная задача, разрешённый источник, качество и immutable asset; никаких скрытых внешних вызовов."
v2.0,PR-VIS-010,No regeneration on publish,not specified in row,PDF использует выбранный blob hash,docs/prd/v2_0.md,1167,preserved,F16,M3;M4,P16,"Визуальная задача, разрешённый источник, качество и immutable asset; никаких скрытых внешних вызовов."
v2.0,PR-DATA-001,Immutable CSV/JSON snapshot,not specified in row,Dataset hash и schema сохранены,docs/prd/v2_0.md,1173,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v2.0,PR-DATA-002,Units and types,not specified in row,Metric/chart mapping validates,docs/prd/v2_0.md,1174,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v2.0,PR-DATA-003,Freshness,not specified in row,Policy marks stale data warn/block,docs/prd/v2_0.md,1175,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v2.0,PR-DATA-004,Source for numbers,not specified in row,Asserted metric без source/date flagged,docs/prd/v2_0.md,1176,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v2.0,PR-DATA-005,Frozen publication,not specified in row,Manifest содержит exact snapshot IDs/hashes,docs/prd/v2_0.md,1177,preserved,F16,M2;M4,P16,Данные рецепта в M2; полный snapshot/source/freshness pipeline в M4.
v2.0,PR-DATA-006,Source excerpts,not specified in row,"Agent sees bounded excerpts, not entire confidential corpus by default",docs/prd/v2_0.md,1178,preserved,F10;F13;F16,M3;M4,P10;P13;P16,Агент читает разрешённые bounded excerpts; source body не повышает права и не исполняет инструкции.
v2.0,PR-DATA-007,Prompt-injection boundary,not specified in row,"Source body treated as untrusted data, not instructions",docs/prd/v2_0.md,1179,preserved,F10;F13;F16,M3;M4,P10;P13;P16,Агент читает разрешённые bounded excerpts; source body не повышает права и не исполняет инструкции.
v2.0,PR-SRC-001,Immutable source upload,not specified in row,"Original blob, checksum, classification, uploader and parser version recorded",docs/prd/v2_0.md,1180,preserved,F04;F05;F08;F16,M1;M4,P04;P05;P08;P16,"Безопасный immutable upload сразу; parser/extraction добавляются для явно принятого формата, никогда macros/network/zip bomb execution."
v2.0,PR-SRC-002,Supported P0 formats,not specified in row,"TXT/Markdown, text PDF, DOCX, PPTX-as-source, CSV/JSON/XLSX and PNG/JPEG/SVG follow explicit pipelines",docs/prd/v2_0.md,1181,adapted,F16;F24,M1;M2;M5,P16;P24,Хранение оригиналов ≠ извлечение/редактура. HTML/data recipe M2; полный список Office-source pipelines не является обещанием первого выпуска.
v2.0,PR-SRC-003,Stable source anchors,not specified in row,"Claim can cite page/paragraph, slide/shape or sheet/cell range after normalization",docs/prd/v2_0.md,1182,preserved,F16,M4,P16,"Оригинал, точный anchor, extraction version и отчёт о потерях; извлечённое — недоверенные данные."
v2.0,PR-SRC-004,Safe extraction,not specified in row,"Macros, active content, external links and archive bombs are never executed",docs/prd/v2_0.md,1183,preserved,F04;F05;F08;F16,M1;M4,P04;P05;P08;P16,"Безопасный immutable upload сразу; parser/extraction добавляются для явно принятого формата, никогда macros/network/zip bomb execution."
v2.0,PR-SRC-005,Extraction report,not specified in row,"UI/agent sees complete/partial/failed status, warnings and unsupported content",docs/prd/v2_0.md,1184,preserved,F16,M4,P16,"Оригинал, точный anchor, extraction version и отчёт о потерях; извлечённое — недоверенные данные."
v2.0,PR-SRC-006,Scanned-document handling,not specified in row,"Missing text layer is detected; OCR/vision requires approved adapter and confidence, never silent fallback",docs/prd/v2_0.md,1185,deferred,F10;F16;F24,M5,P10;P16;P24,OCR и полноценная spreadsheet extraction только с approved adapter/confidence/частичным отчётом; нет тихого исполнения формул/внешних связей.
v2.0,PR-SRC-007,Spreadsheet semantics,not specified in row,Formulas and cached values are recorded; external connections/macros are not executed,docs/prd/v2_0.md,1186,deferred,F10;F16;F24,M5,P10;P16;P24,OCR и полноценная spreadsheet extraction только с approved adapter/confidence/частичным отчётом; нет тихого исполнения формул/внешних связей.
v2.0,PR-SRC-008,Citation trace,not specified in row,"Every quoted/extracted fragment preserves source ID, anchor and extraction version",docs/prd/v2_0.md,1187,preserved,F16,M4,P16,"Оригинал, точный anchor, extraction version и отчёт о потерях; извлечённое — недоверенные данные."
v2.0,PR-PUB-001,Revision-specific review,not specified in row,Approval invalidated by content-changing revision,docs/prd/v2_0.md,1193,preserved,F14,M4,P14,Официальный выпуск требует прав/approval точной версии; обычный share — отдельное действие.
v2.0,PR-PUB-002,Authoritative preflight,not specified in row,Publish reruns hard checks,docs/prd/v2_0.md,1194,adapted,F04;F14;F24,M1;M4;M5,P04;P14;P24,"Проверки frozen HTML/file revision и manifest; обязательный PDF-first заменён, гарантии immutable release остаются."
v2.0,PR-PUB-003,Immutable PDF release,not specified in row,Existing artifact never overwritten,docs/prd/v2_0.md,1195,adapted,F04;F14;F24,M1;M4;M5,P04;P14;P24,"Проверки frozen HTML/file revision и manifest; обязательный PDF-first заменён, гарантии immutable release остаются."
v2.0,PR-PUB-004,Manifest,not specified in row,Includes deck/template/skills/renderer/fonts/assets/data/approvals hashes,docs/prd/v2_0.md,1196,adapted,F04;F14;F24,M1;M4;M5,P04;P14;P24,"Проверки frozen HTML/file revision и manifest; обязательный PDF-first заменён, гарантии immutable release остаются."
v2.0,PR-PUB-005,Agent denied,not specified in row,No agent token can publish,docs/prd/v2_0.md,1197,preserved,F14,M4,P14,Официальный выпуск требует прав/approval точной версии; обычный share — отдельное действие.
v2.0,PR-PUB-006,Share controls,not specified in row,External link follows classification policy,docs/prd/v2_0.md,1198,adapted,F07;F10;F14,M1;M4,P07;P10;P14,"Audience/expiry/revoke/copy/download в M1; обязательный watermark только в принятом viewer/export profile M4, не защита от снимка экрана."
v2.0,PR-EVAL-001,Versioned benchmark corpus,not specified in row,"Briefs, sources and expected constraints are immutable/versioned",docs/prd/v2_0.md,1204,adapted,F18;F19,M2;M3;M4,P18;P19,"Версионный корпус файлов/HTML/рецептов; качество, скорость, стоимость и оценка реального человека."
v2.0,PR-EVAL-002,Skill regression,not specified in row,Skill/model/template change runs benchmark before promotion,docs/prd/v2_0.md,1205,preserved,F13;F15;F18,M3;M4,P13;P15;P18,Точные версии run/skill/model/template/runtime и regression до продвижения нового пакета.
v2.0,PR-EVAL-003,Deterministic metrics,not specified in row,"Blocking issue rate, source coverage and render success automatic",docs/prd/v2_0.md,1206,adapted,F18;F19,M2;M3;M4,P18;P19,"Версионный корпус файлов/HTML/рецептов; качество, скорость, стоимость и оценка реального человека."
v2.0,PR-EVAL-004,Human rubric,not specified in row,"Narrative, audience fit, visual relevance and brand quality scored",docs/prd/v2_0.md,1207,adapted,F18;F19,M2;M3;M4,P18;P19,"Версионный корпус файлов/HTML/рецептов; качество, скорость, стоимость и оценка реального человека."
v2.0,PR-EVAL-005,Traceability,not specified in row,Each eval result pins skill/model/template/compiler versions,docs/prd/v2_0.md,1208,preserved,F13;F15;F18,M3;M4,P13;P15;P18,Точные версии run/skill/model/template/runtime и regression до продвижения нового пакета.
v2.0,PR-EVAL-006,Pilot dashboards,not specified in row,First proposal acceptance and comment-to-fix iterations visible,docs/prd/v2_0.md,1209,adapted,F18;F22,M3;M4,P18;P22,Реальные accept/comment-to-fix и повторное использование; маленький пилот не выдаётся за доказанный рынок.
